subject	activity	tBodyAcc-mean()-X	tBodyAcc-mean()-Y	tBodyAcc-mean()-Z	tGravityAcc-mean()-X	tGravityAcc-mean()-Y	tGravityAcc-mean()-Z	tBodyAccJerk-mean()-X	tBodyAccJerk-mean()-Y	tBodyAccJerk-mean()-Z	tBodyGyro-mean()-X	tBodyGyro-mean()-Y	tBodyGyro-mean()-Z	tBodyGyroJerk-mean()-X	tBodyGyroJerk-mean()-Y	tBodyGyroJerk-mean()-Z	tBodyAccMag-mean()	tGravityAccMag-mean()	tBodyAccJerkMag-mean()	tBodyGyroMag-mean()	tBodyGyroJerkMag-mean()	fBodyAcc-mean()-X	fBodyAcc-mean()-Y	fBodyAcc-mean()-Z	fBodyAcc-meanFreq()-X	fBodyAcc-meanFreq()-Y	fBodyAcc-meanFreq()-Z	fBodyAccJerk-mean()-X	fBodyAccJerk-mean()-Y	fBodyAccJerk-mean()-Z	fBodyAccJerk-meanFreq()-X	fBodyAccJerk-meanFreq()-Y	fBodyAccJerk-meanFreq()-Z	fBodyGyro-mean()-X	fBodyGyro-mean()-Y	fBodyGyro-mean()-Z	fBodyGyro-meanFreq()-X	fBodyGyro-meanFreq()-Y	fBodyGyro-meanFreq()-Z	fBodyAccMag-mean()	fBodyAccMag-meanFreq()	fBodyBodyAccJerkMag-mean()	fBodyBodyAccJerkMag-meanFreq()	fBodyBodyGyroMag-mean()	fBodyBodyGyroMag-meanFreq()	fBodyBodyGyroJerkMag-mean()	fBodyBodyGyroJerkMag-meanFreq()	tBodyAcc-std()-X	tBodyAcc-std()-Y	tBodyAcc-std()-Z	tGravityAcc-std()-X	tGravityAcc-std()-Y	tGravityAcc-std()-Z	tBodyAccJerk-std()-X	tBodyAccJerk-std()-Y	tBodyAccJerk-std()-Z	tBodyGyro-std()-X	tBodyGyro-std()-Y	tBodyGyro-std()-Z	tBodyGyroJerk-std()-X	tBodyGyroJerk-std()-Y	tBodyGyroJerk-std()-Z	tBodyAccMag-std()	tGravityAccMag-std()	tBodyAccJerkMag-std()	tBodyGyroMag-std()	tBodyGyroJerkMag-std()	fBodyAcc-std()-X	fBodyAcc-std()-Y	fBodyAcc-std()-Z	fBodyAccJerk-std()-X	fBodyAccJerk-std()-Y	fBodyAccJerk-std()-Z	fBodyGyro-std()-X	fBodyGyro-std()-Y	fBodyGyro-std()-Z	fBodyAccMag-std()	fBodyBodyAccJerkMag-std()	fBodyBodyGyroMag-std()	fBodyBodyGyroJerkMag-std()
9	WALKING	0.276722038	-0.017109196	-0.110276834	0.941144888	-0.146620471	-0.06351776	0.083442219	0.003222921	-0.004384043	-0.040715596	-0.069613627	0.087429494	-0.093894312	-0.040003085	-0.058487723	-0.153342713	-0.153342713	-0.222411674	-0.301616236	-0.458563459	-0.278807306	-0.070619027	-0.312310683	-0.288874655	0.084899455	0.111316896	-0.294800143	-0.18000297	-0.417203135	-0.275133288	-0.332488617	-0.22422573	-0.351981089	-0.410093461	-0.278847572	-0.052272093	-0.038830166	-0.050295551	-0.262311046	0.191699941	-0.193488457	0.056734239	-0.434354243	0.183458282	-0.513757083	0.139648524	-0.292190862	-0.070310024	-0.236876692	-0.978879773	-0.968765527	-0.953496885	-0.246924227	-0.117500762	-0.439861043	-0.488387713	-0.389437317	-0.317802771	-0.382956268	-0.513481873	-0.408474873	-0.327620074	-0.327620074	-0.191322837	-0.418093804	-0.495837645	-0.299523508	-0.131038737	-0.258559938	-0.265498356	-0.10957887	-0.461572919	-0.533543745	-0.384349715	-0.3965416	-0.473590699	-0.195331578	-0.510663497	-0.509649473
10	WALKING	0.277217575	-0.019177422	-0.10872503	0.937239074	-0.218654883	-0.077631918	0.067555706	0.020891516	-0.013180851	-0.039142524	-0.064999149	0.096142551	-0.092852987	-0.050700756	-0.058704649	-0.141073781	-0.141073781	-0.198568275	-0.253838642	-0.409736303	-0.267517382	-0.027346155	-0.269621979	-0.294814794	0.050315312	0.132223277	-0.290000601	-0.150528354	-0.37347882	-0.265205984	-0.345950951	-0.235836751	-0.33526601	-0.332605787	-0.286030507	-0.052116017	-0.019548451	-0.074126438	-0.234225963	0.199637127	-0.170674844	0.090458507	-0.341885329	0.195225502	-0.4364323	0.127868641	-0.289013667	-0.021122202	-0.223254888	-0.975370527	-0.964192009	-0.952963637	-0.244449169	-0.082201598	-0.399199022	-0.471072805	-0.314486949	-0.304238832	-0.367242749	-0.424960147	-0.424745779	-0.305960813	-0.305960813	-0.175725162	-0.31454073	-0.409825032	-0.298922068	-0.081344006	-0.260441121	-0.26511391	-0.069981049	-0.424099453	-0.515452759	-0.311051923	-0.375994988	-0.459141146	-0.190322	-0.416653694	-0.419334613
11	SITTING	0.268586768	-0.012638403	-0.100915339	0.892613272	0.102894677	0.126514411	0.07808311	0.00079659	-0.005423397	-0.035983096	-0.073622281	0.089307679	-0.095126122	-0.04245279	-0.050452275	-0.951156527	-0.951156527	-0.983310557	-0.951748616	-0.989054927	-0.982919805	-0.946682041	-0.956320577	-0.047347699	0.045042687	0.079521995	-0.985897581	-0.976295851	-0.980511877	0.185046346	-0.058303637	-0.001885833	-0.97996786	-0.973963261	-0.963334277	0.063826791	-0.232082826	-0.042406456	-0.951195017	0.107330518	-0.980686814	0.292853965	-0.966900913	-0.079623731	-0.987473799	0.191625746	-0.98210121	-0.929721194	-0.933746843	-0.978725673	-0.957378739	-0.945389759	-0.985744557	-0.976121401	-0.982953579	-0.983297396	-0.96679509	-0.958582389	-0.987820391	-0.987997262	-0.985134146	-0.934901046	-0.934901046	-0.980877236	-0.954011357	-0.986999117	-0.981977965	-0.92619951	-0.927860366	-0.986909168	-0.977716541	-0.983999477	-0.984403814	-0.963500785	-0.961033902	-0.93701355	-0.980094135	-0.954148635	-0.987000775
12	WALKING	0.274802414	-0.017494935	-0.107059442	0.929828764	-0.22145057	-0.06000147	0.0753203	0.010393942	-0.008551354	-0.034535641	-0.070982048	0.087778697	-0.087396696	-0.043240968	-0.050393171	-0.200460755	-0.200460755	-0.285528662	-0.273853323	-0.47468208	-0.332952098	-0.063778424	-0.369505561	-0.313211393	0.029481198	0.025121259	-0.35756789	-0.204672698	-0.494078016	-0.273835954	-0.371014788	-0.263175075	-0.387400549	-0.377901035	-0.352177096	-0.075756281	-0.144639019	-0.134894489	-0.302033758	0.136491287	-0.270377699	0.088936942	-0.408579108	0.153931818	-0.529558115	0.13802615	-0.351343533	-0.034393942	-0.291913962	-0.97921309	-0.968373738	-0.953789839	-0.316281829	-0.142172822	-0.520699521	-0.488922569	-0.314530434	-0.365961293	-0.396390576	-0.518170077	-0.512111562	-0.355604003	-0.355604003	-0.272870668	-0.378578708	-0.521441836	-0.359853881	-0.081451541	-0.306915436	-0.334859227	-0.132294108	-0.546331881	-0.523115877	-0.28600882	-0.430167743	-0.489030875	-0.282989087	-0.467768128	-0.546056658
13	WALKING	0.274773251	-0.018303855	-0.111200034	0.926633244	-0.208950543	-0.103368768	0.080469133	0.015294279	0.011881242	-0.031206982	-0.074064823	0.079342273	-0.091795537	-0.043897447	-0.057990197	-0.159164592	-0.159164592	-0.240479438	-0.239416197	-0.454558177	-0.312181816	-0.043378467	-0.313746571	-0.287905587	0.01180512	0.046704805	-0.319796622	-0.188519223	-0.435340552	-0.260115926	-0.395624988	-0.27241227	-0.305313071	-0.374750972	-0.301479961	-0.095201622	-0.132304124	-0.130006676	-0.287083747	0.169369338	-0.248089775	0.090304862	-0.392150583	0.177061571	-0.51875128	0.172397363	-0.318516156	-0.004896904	-0.23811722	-0.977817548	-0.965103984	-0.95132064	-0.276100238	-0.116411919	-0.465501637	-0.427351567	-0.333982278	-0.317769266	-0.342940928	-0.520935189	-0.468506611	-0.347201023	-0.347201023	-0.242210212	-0.360866107	-0.508416702	-0.322167019	-0.048868452	-0.258990476	-0.295997554	-0.097897342	-0.49461762	-0.467919066	-0.317303952	-0.386961725	-0.486823444	-0.241755697	-0.453213707	-0.531972705
13	WALKING_UPSTAIRS	0.266270914	-0.028046428	-0.117701268	0.90189487	-0.288837791	-0.091384767	0.083686399	-0.00507234	0.009584343	-0.039207567	-0.05006663	0.076344369	-0.103177823	-0.050261359	-0.056848203	-0.082078731	-0.082078731	-0.368042006	-0.207070009	-0.577557353	-0.252949156	-0.108204422	-0.413844291	-0.449620136	-0.140674323	-0.240191766	-0.362935381	-0.332960877	-0.609514702	-0.358320547	-0.471845431	-0.424135196	-0.339900746	-0.487645452	-0.301173534	-0.145043295	-0.284002079	-0.165781785	-0.223584957	-0.058696335	-0.330481711	0.03734714	-0.433428375	-0.139461104	-0.637630333	0.058715792	-0.182445817	-0.008375909	-0.234216007	-0.950564784	-0.92166838	-0.905494067	-0.328959764	-0.298864776	-0.637312567	-0.447835566	-0.38494714	-0.309325265	-0.467404287	-0.66887992	-0.49824875	-0.202786798	-0.202786798	-0.356968526	-0.330500884	-0.63899193	-0.157581623	-0.022993814	-0.207471689	-0.354506731	-0.310164844	-0.664373544	-0.486858787	-0.339435527	-0.380186715	-0.316553281	-0.398821921	-0.382660404	-0.66763834
14	SITTING	0.273704734	-0.011669849	-0.105620202	0.857905089	0.136968366	0.16868575	0.075251479	0.002789541	-0.003451918	-0.039498714	-0.078060472	0.07719707	-0.095443145	-0.039210909	-0.050497622	-0.959635565	-0.959635565	-0.985089695	-0.946331495	-0.989899555	-0.985566212	-0.952917795	-0.960720523	-0.049036875	0.087198005	0.089024452	-0.987513613	-0.977460522	-0.981537835	0.195925745	-0.029750625	0.003929117	-0.9792551	-0.975066119	-0.965396031	0.07338426	-0.191968263	0.012998977	-0.956067823	0.146298838	-0.981279344	0.288772462	-0.96679994	-0.076988396	-0.987813287	0.17703005	-0.985448643	-0.942079041	-0.944758512	-0.979460286	-0.958871867	-0.948770431	-0.987362779	-0.977564611	-0.983900512	-0.981745231	-0.970122284	-0.962977015	-0.988303384	-0.988251765	-0.987439916	-0.94399145	-0.94399145	-0.981342819	-0.953980961	-0.987149183	-0.985544674	-0.940223863	-0.940555333	-0.988383347	-0.979440377	-0.9848761	-0.982689577	-0.967780585	-0.965660979	-0.946447155	-0.980302697	-0.954077226	-0.986913094
15	SITTING	0.271599368	-0.009768714	-0.105810154	0.871529498	0.147985089	0.165600275	0.075592457	-0.001067773	-0.004271366	-0.038937365	-0.08191164	0.087720459	-0.096096832	-0.037565659	-0.051018038	-0.950293613	-0.950293613	-0.983943536	-0.945521839	-0.989510212	-0.98176386	-0.940939905	-0.953932792	-0.049242328	0.06642077	0.087243555	-0.986135534	-0.975695081	-0.981205421	0.207128528	-0.051932353	0.019446984	-0.97922848	-0.975087956	-0.962247702	0.078315303	-0.188560958	0.005343229	-0.943366417	0.112705337	-0.980542994	0.278215499	-0.967256463	-0.069135666	-0.987142674	0.185161545	-0.981430527	-0.925058238	-0.934979646	-0.975457551	-0.945892639	-0.940781441	-0.986058113	-0.975815155	-0.983861602	-0.98192223	-0.969771789	-0.958415801	-0.987366268	-0.988139525	-0.985545912	-0.92734514	-0.92734514	-0.98045078	-0.952911527	-0.986258854	-0.981415639	-0.921926571	-0.93001849	-0.987279493	-0.977829402	-0.985165531	-0.98294931	-0.967316026	-0.96118072	-0.930359052	-0.979265163	-0.952536682	-0.985878226
16	SITTING	0.273401232	-0.012140036	-0.103757264	0.878128081	0.097051054	0.162622073	0.075424638	0.008825324	-0.000715968	-0.040223566	-0.067674743	0.073037068	-0.095071892	-0.041928147	-0.0504738	-0.954171545	-0.954171545	-0.978422349	-0.947806165	-0.984588673	-0.981499268	-0.947673045	-0.958127367	-0.029141599	0.074216084	0.087014804	-0.9817546	-0.968334594	-0.976551193	0.18145353	-0.071945651	-0.002744492	-0.974266465	-0.968941133	-0.956121237	0.073614516	-0.20907038	-0.013617123	-0.955121045	0.121591734	-0.973901545	0.271155815	-0.960457933	-0.054425488	-0.981867272	0.171086365	-0.983041782	-0.936001184	-0.941353018	-0.982571668	-0.963223493	-0.955341688	-0.981422919	-0.968047535	-0.97969801	-0.979386238	-0.963662944	-0.954049481	-0.9824932	-0.983436849	-0.978980484	-0.944181356	-0.944181356	-0.974549004	-0.948485841	-0.981015798	-0.983855153	-0.934315104	-0.93720733	-0.982784454	-0.970093419	-0.981494652	-0.981132822	-0.961235021	-0.957799317	-0.947188714	-0.974403599	-0.949941573	-0.980995645
17	SITTING	0.277382685	-0.018145629	-0.109520841	0.898968242	0.048495055	0.140346956	0.074945196	0.015237214	0.000588687	-0.034979421	-0.061301585	0.067104207	-0.096502156	-0.042722695	-0.051989878	-0.962735922	-0.962735922	-0.983003089	-0.946192705	-0.987499954	-0.986143372	-0.95326142	-0.962251536	-0.017103558	0.073971473	0.068805714	-0.986480203	-0.973609864	-0.980747608	0.178545868	-0.064199919	0.019844347	-0.975501682	-0.97204948	-0.961768897	0.041667435	-0.254076364	-0.020366789	-0.961155784	0.107440737	-0.980135689	0.282200423	-0.964009171	-0.089645691	-0.985143246	0.186099194	-0.987482545	-0.943525836	-0.947678755	-0.98667423	-0.965927093	-0.957067883	-0.986258786	-0.973328613	-0.983443421	-0.979781837	-0.966269973	-0.960058079	-0.98454561	-0.986702609	-0.98295777	-0.952585401	-0.952585401	-0.980575352	-0.951286904	-0.984618082	-0.988157127	-0.941970463	-0.943738489	-0.987275545	-0.975005586	-0.984802891	-0.981245113	-0.963525334	-0.96329314	-0.955096794	-0.980065841	-0.951819146	-0.984796513
